time,open,high,low,close,Volume,Volume MA
1685491200,83166068992,83166900420,83166068992,83166900420,24142435100.913902,20797426475.987774
1685491500,83166068992,83167731848,83166068992,83166900420,24142435100.913902,20973479561.5102
1685491800,83167731848,83167731848,83166900420,83166900420,24142435100.913902,21149532647.03263
1685492100,83167731848,83167731848,83166900420,83166900420,24142435100.913902,21325585732.555058
1685492400,83167731848,83167731848,83166900420,83167731848,24142435100.913902,21501638818.077484
1685492700,83166900420,83167731848,83166900420,83166900420,24142435100.913902,21677691903.59991
1685493000,83166900420,83167731848,83166900420,83167731848,24142435100.913902,21853744989.122337
1685493300,83167731848,83167731848,83166900420,83166900420,24142435100.913902,22029798074.644768
1685493600,83166900420,83167731848,83166900420,83167731848,24142435100.913902,22205851160.167194
1685493900,83167731848,83167731848,83166900420,83167731848,24142435100.913902,22381904245.68962
1685494200,83167731848,83167731848,83166900420,83167731848,24142435100.913902,22557957331.212048
1685494500,83166900420,83167731848,83166900420,83166900420,24142435100.913902,22734010416.734474
1685494800,83166900420,83167731848,83166900420,83167731848,24142435100.913902,22910063502.256905
1685495100,83166900420,83167731848,83166900420,83167731848,24142435100.913902,23086116587.77933
1685495400,83167731848,83167731848,83166900420,83166900420,24142435100.913902,23262169673.301758
1685495700,83166900420,83167731848,83166900420,83166900420,24142435100.913902,23438222758.824184
1685496000,83166900420,83167731848,83166900420,83166900420,24142435100.913902,23614275844.34661
1685496300,83166900420,83167731848,83166900420,83166900420,24142435100.913902,23790328929.86904
1685496600,83167731848,83167731848,83166900420,83167731848,24142435100.913902,23966382015.391468
1685496900,83166900420,83167731848,83166900420,83166900420,24142435100.913902,24142435100.913895
1685497200,83166900420,83167731848,83166068992,83166068992,24142435100.913902,24142435100.913895
1685497500,83166900420,83166900420,83166068992,83166900420,24142435100.913902,24142435100.913895
1685497800,83166900420,83166900420,83165237564,83166068992,24142435100.913902,24142435100.913895
1685498100,83166900420,83166900420,83165237564,83166068992,24142435100.913902,24142435100.913895
1685498400,83165237564,83166068992,83165237564,83166068992,24142435100.913902,24142435100.913895
1685498700,83166068992,83166068992,83165237564,83166068992,24142435100.913902,24142435100.913895
1685499000,83166068992,83168563276,83166068992,83168563276,24142435100.913902,24142435100.913895
1685499300,83167731848,83170226132,83167731848,83169394704,24142435100.913902,24142435100.913895
1685499600,83169394704,83170226132,83169394704,83169394704,24142435100.913902,24142435100.913895
1685499900,83169394704,83170226132,83169394704,83169394704,24142435100.913902,24142435100.913895
1685500200,83169394704,83171057560,83169394704,83170226132,24142435100.913902,24142435100.913895
1685500500,83170226132,83173551843,83170226132,83172720415,24142435100.913902,24142435100.913895
1685500800,83172720415,83173551843,83172720415,83173551843,24142435100.913902,24142435100.913895
1685501100,83172720415,83175214699,83172720415,83174383271,24142435100.913902,24142435100.913895
1685501400,83174383271,83175214699,83174383271,83174383271,24142435100.913902,24142435100.913895
1685501700,83174383271,83175214699,83174383271,83174383271,24142435100.913902,24142435100.913895
1685502000,83175214699,83175214699,83161080425,83161080425,24142435100.913902,24142435100.913895
1685502300,83161080425,83161911853,83161080425,83161911853,24142435100.913902,24142435100.913895
1685502600,83161911853,83161911853,83154429002,83155260430,24142435100.913902,24142435100.913895
1685502900,83155260430,83155260430,83154429002,83154429002,24142435100.913902,24142435100.913895
1685503200,83154429002,83155260430,83154429002,83155260430,24142435100.913902,24142435100.913895
1685503500,83155260430,83155260430,83154429002,83155260430,24142435100.913902,24142435100.913895
1685503800,83155260430,83156091857,83154429002,83156091857,24142435100.913902,24142435100.913895
1685504100,83156091857,83158586141,83156091857,83158586141,24142435100.913902,24142435100.913895
1685504400,83158586141,83159417569,83157754713,83158586141,24142435100.913902,24142435100.913895
1685504700,83159417569,83161080425,83159417569,83160248997,24142435100.913902,24142435100.913895
1685505000,83160248997,83161080425,83160248997,83161080425,24142435100.913902,24142435100.913895
1685505300,83160248997,83161080425,83160248997,83161080425,24142435100.913902,24142435100.913895
1685505600,83161080425,83161080425,83160248997,83161080425,24142435100.913902,24142435100.913895
1685505900,83161080425,83161080425,83151934718,83160248997,24142435100.913902,24142435100.913895
1685506200,83161080425,83165237564,83161080425,83164406136,24142435100.913902,24142435100.913895
1685506500,83164406136,83165237564,83164406136,83164406136,24142435100.913902,24142435100.913895
1685506800,83164406136,83165237564,83164406136,83165237564,24142435100.913902,24142435100.913895
1685507100,83165237564,83165237564,83164406136,83165237564,24142435100.913902,24142435100.913895
1685507400,83165237564,83165237564,83162743281,83162743281,24142435100.913902,24142435100.913895
1685507700,83162743281,83163574709,83162743281,83163574709,24142435100.913902,24142435100.913895
1685508000,83162743281,83163574709,83162743281,83163574709,24142435100.913902,24142435100.913895
1685508300,83162743281,83167731848,83162743281,83166900420,24142435100.913902,24142435100.913895
1685508600,83166900420,83166900420,83166068992,83166068992,24142435100.913902,24142435100.913895
1685508900,83166068992,83166900420,83166068992,83166068992,24142435100.913902,24142435100.913895
1685509200,83166068992,83170226132,83166068992,83169394704,24142435100.913902,24142435100.913895
1685509500,83169394704,83170226132,83169394704,83169394704,24142435100.913902,24142435100.913895
1685509800,83169394704,83170226132,83169394704,83169394704,24142435100.913902,24142435100.913895
1685510100,83170226132,83170226132,83165237564,83165237564,24142435100.913902,24142435100.913895
1685510400,83165237564,83166068992,83164406136,83164406136,24142435100.913902,24142435100.913895
1685510700,83164406136,83165237564,83164406136,83165237564,24142435100.913902,24142435100.913895
1685511000,83165237564,83165237564,83164406136,83164406136,24142435100.913902,24142435100.913895
1685511300,83164406136,83165237564,83162743281,83162743281,24142435100.913902,24142435100.913895
1685511600,83162743281,83163574709,83162743281,83162743281,24142435100.913902,24142435100.913895
1685511900,83163574709,83163574709,83162743281,83162743281,24142435100.913902,24142435100.913895
1685512200,83162743281,83163574709,83162743281,83162743281,24142435100.913902,24142435100.913895
1685512500,83162743281,83163574709,83161911853,83162743281,24142435100.913902,24142435100.913895
1685512800,83162743281,83162743281,83161911853,83162743281,24142435100.913902,24142435100.913895
1685513100,83162743281,83162743281,83161911853,83161911853,24142435100.913902,24142435100.913895
1685513400,83161911853,83162743281,83161911853,83161911853,24142435100.913902,24142435100.913895
1685513700,83162743281,83162743281,83161911853,83162743281,24142435100.913902,24142435100.913895
1685514000,83162743281,83162743281,83161911853,83161911853,24142435100.913902,24142435100.913895
1685514300,83162743281,83162743281,83161911853,83162743281,24142435100.913902,24142435100.913895
1685514600,83162743281,83166068992,83161911853,83165237564,24142435100.913902,24142435100.913895
1685514900,83165237564,83169394704,83165237564,83168563276,24142435100.913902,24142435100.913895
1685515200,83168563276,83169394704,83168563276,83168563276,24142435100.913902,24142435100.913895
1685515500,83168563276,83169394704,83168563276,83168563276,24142435100.913902,24142435100.913895
1685515800,83168563276,83170226132,83168563276,83170226132,24142435100.913902,24142435100.913895
1685516100,83169394704,83170226132,83169394704,83170226132,24142435100.913902,24142435100.913895
1685516400,83170226132,83176046127,83154429002,83166900420,24142435100.913902,24142435100.913895
1685516700,83166900420,83179371838,83166900420,83178540411,24142435100.913902,24142435100.913895
1685517000,83178540411,83179371838,83178540411,83178540411,24142435100.913902,24142435100.913895
1685517300,83178540411,83181034694,83178540411,83181034694,24142435100.913902,24142435100.913895
1685517600,83181034694,83192674685,83176046127,83176877555,24142435100.913902,24142435100.913895
1685517900,83176046127,83205146103,83176046127,83202651819,24142435100.913902,24142435100.913895
1685518200,83201820391,83213460382,83171888987,83172720415,24142435100.913902,24142435100.913895
1685518500,83171888987,83172720415,83167731848,83169394704,24142435100.913902,24142435100.913895
1685518800,83169394704,83169394704,83168563276,83169394704,24142435100.913902,24142435100.913895
1685519100,83169394704,83178540411,83168563276,83176046127,24142435100.913902,24142435100.913895
1685519400,83176877555,83176877555,83166068992,83166900420,24142435100.913902,24142435100.913895
1685519700,83166068992,83172720415,83148609006,83171888987,24142435100.913902,24142435100.913895
1685520000,83171888987,83172720415,83171888987,83172720415,24142435100.913902,24142435100.913895
1685520300,83171888987,83173551843,83171888987,83171888987,24142435100.913902,24142435100.913895
1685520600,83171888987,83172720415,83158586141,83166900420,24142435100.913902,24142435100.913895
1685520900,83166900420,83166900420,83166068992,83166900420,24142435100.913902,24142435100.913895
1685521200,83166900420,83173551843,83166068992,83171888987,24142435100.913902,24142435100.913895
1685521500,83172720415,83173551843,83171888987,83172720415,24142435100.913902,24142435100.913895
1685521800,83172720415,83173551843,83172720415,83173551843,24142435100.913902,24142435100.913895
1685522100,83173551843,83176046127,83173551843,83175214699,24142435100.913902,24142435100.913895
1685522400,83175214699,83176046127,83174383271,83175214699,24142435100.913902,24142435100.913895
1685522700,83174383271,83175214699,83169394704,83169394704,24142435100.913902,24142435100.913895
1685523000,83169394704,83170226132,83164406136,83168563276,24142435100.913902,24142435100.913895
1685523300,83168563276,83168563276,83164406136,83168563276,24142435100.913902,24142435100.913895
1685523600,83168563276,83168563276,83167731848,83168563276,24142435100.913902,24142435100.913895
1685523900,83168563276,83168563276,83160248997,83161080425,24142435100.913902,24142435100.913895
1685524200,83161080425,83161080425,83160248997,83161080425,24142435100.913902,24142435100.913895
1685524500,83161080425,83172720415,83160248997,83160248997,24142435100.913902,24142435100.913895
1685524800,83160248997,83168563276,83160248997,83168563276,24142435100.913902,24142435100.913895
1685525100,83167731848,83168563276,83167731848,83167731848,24142435100.913902,24142435100.913895
1685525400,83168563276,83174383271,83167731848,83173551843,24142435100.913902,24142435100.913895
1685525700,83173551843,83178540411,83173551843,83177708983,24142435100.913902,24142435100.913895
1685526000,83177708983,83178540411,83171888987,83172720415,24142435100.913902,24142435100.913895
1685526300,83173551843,83178540411,83172720415,83177708983,24142435100.913902,24142435100.913895
1685526600,83177708983,83178540411,83177708983,83177708983,24142435100.913902,24142435100.913895
1685526900,83177708983,83177708983,83176877555,83177708983,24142435100.913902,24142435100.913895
1685527200,83176877555,83177708983,83176877555,83176877555,24142435100.913902,24142435100.913895
1685527500,83176877555,83177708983,83176877555,83177708983,24142435100.913902,24142435100.913895
1685527800,83176877555,83177708983,83171057560,83171888987,24142435100.913902,24142435100.913895
1685528100,83171057560,83172720415,83171057560,83171888987,24142435100.913902,24142435100.913895
1685528400,83171888987,83175214699,83171888987,83174383271,24142435100.913902,24142435100.913895
1685528700,83174383271,83175214699,83174383271,83175214699,24142435100.913902,24142435100.913895
1685529000,83174383271,83176877555,83174383271,83176046127,24142435100.913902,24142435100.913895
1685529300,83176046127,83178540411,83176046127,83176877555,24142435100.913902,24142435100.913895
1685529600,83176877555,83177708983,83176877555,83176877555,24142435100.913902,24142435100.913895
1685529900,83176877555,83177708983,83173551843,83173551843,24142435100.913902,24142435100.913895
1685530200,83174383271,83174383271,83171888987,83171888987,24142435100.913902,24142435100.913895
1685530500,83172720415,83172720415,83162743281,83165237564,24142435100.913902,24142435100.913895
1685530800,83166068992,83166068992,83165237564,83165237564,24142435100.913902,24142435100.913895
1685531100,83165237564,83166068992,83165237564,83166068992,24142435100.913902,24142435100.913895
1685531400,83166068992,83166068992,83165237564,83166068992,24142435100.913902,24142435100.913895
1685531700,83166068992,83166068992,83165237564,83166068992,24142435100.913902,24142435100.913895
1685532000,83166068992,83166068992,83165237564,83165237564,24142435100.913902,24142435100.913895
1685532300,83165237564,83166068992,83165237564,83166068992,24142435100.913902,24142435100.913895
1685532600,83165237564,83166068992,83165237564,83166068992,24142435100.913902,24142435100.913895
1685532900,83166068992,83166068992,83165237564,83165237564,24142435100.913902,24142435100.913895
1685533200,83166068992,83166068992,83165237564,83166068992,24142435100.913902,24142435100.913895
1685533500,83165237564,83166068992,83163574709,83164406136,24142435100.913902,24142435100.913895
1685533800,83163574709,83164406136,83163574709,83164406136,24142435100.913902,24142435100.913895
1685534100,83164406136,83164406136,83163574709,83164406136,24142435100.913902,24142435100.913895
1685534400,83164406136,83164406136,83163574709,83164406136,24142435100.913902,24142435100.913895
1685534700,83164406136,83164406136,83163574709,83164406136,24142435100.913902,24142435100.913895
1685535000,83163574709,83164406136,83163574709,83164406136,24142435100.913902,24142435100.913895
1685535300,83164406136,83164406136,83163574709,83164406136,24142435100.913902,24142435100.913895
1685535600,83164406136,83164406136,83163574709,83164406136,24142435100.913902,24142435100.913895
1685535900,83164406136,83164406136,83163574709,83164406136,24142435100.913902,24142435100.913895
1685536200,83164406136,83164406136,83156091857,83157754713,24142435100.913902,24142435100.913895
1685536500,83157754713,83158586141,83157754713,83158586141,24142435100.913902,24142435100.913895
1685536800,83158586141,83158586141,83157754713,83158586141,24142435100.913902,24142435100.913895
1685537100,83158586141,83158586141,83157754713,83158586141,24142435100.913902,24142435100.913895
1685537400,83158586141,83158586141,83157754713,83158586141,24142435100.913902,24142435100.913895
